rank,artist_names,track_name,source,peak_rank,popularity_float,days_on_chart,daysonchart_float,streams,streams_float,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_genre,date
198,BLOOM VASE,CHILDAYS,Warner Music D.N.A.,54,184,474,4.7,28375,0.03,0.7,0.814,2,-2.459,1,0.0462,0.349,0.0,0.132,0.922,79.002,190735,4,japanese pop rap,2022-01-23
165,Hikaru Utada,誰にも言わない,Sony Music Labels Inc.,58,147,19,0.2,30792,0.03,0.5,0.56,8,-7.969,1,0.0483,0.399,0.00037,0.089,0.385,95.304,280017,4,"anime, classic j-pop, j-pop, japanese singer-songwriter",2022-01-20
189,The Weeknd,Sacrifice,XO / Republic Records,114,188,12,0.1,28431,0.03,0.7,0.795,11,-6.523,0,0.113,0.0296,3.18E-05,0.0678,0.905,122.0,188918,4,"canadian contemporary r&b, canadian pop, pop",2022-01-20
196,King Gnu,三文小説,Sony Music Labels Inc.,12,198,287,2.9,27782,0.03,0.4,0.487,4,-8.26,0,0.0508,0.641,0.0,0.254,0.0994,88.055,280533,4,"j-pop, j-rock",2022-01-19
181,ENHYPEN,Blessed-Cursed,BELIFT LAB,167,170,8,0.1,28525,0.03,0.6,0.886,4,-3.523,0,0.061,0.0925,0.0,0.596,0.401,127.098,170805,4,"anime, k-pop boy group",2022-01-18
188,milet,Flare,Sony Music Labels Inc.,177,177,2,0.0,27872,0.03,0.5,0.711,11,-4.165,1,0.0376,0.034,0.0,0.0745,0.252,85.886,234879,4,j-pop,2022-01-18
192,Hitsujibungaku,光るとき,F.C.L.S.,192,-1,1,0.0,27518,0.03,0.3,0.744,2,-4.926,1,0.044,0.0425,0.000102,0.123,0.206,129.768,351932,4,"j-rock, japanese alternative rock, japanese shoegaze",2022-01-17
199,Fujii Kaze,青春病,Universal Music LLC,63,189,280,2.8,27091,0.03,0.7,0.809,1,-6.518,1,0.0443,0.141,8.06E-05,0.322,0.627,108.04,321112,4,japanese teen pop,2022-01-17
191,SUDA MASAKI,ラストシーン,Sony Music Labels Inc.,66,168,70,0.7,28366,0.03,0.4,0.87,6,-3.855,1,0.057,0.0512,0.0,0.113,0.409,149.824,269773,4,"anime rock, j-pop, japanese punk rock",2022-01-16
193,Fujii Kaze,優しさ,Universal Music LLC,52,162,467,4.7,27170,0.03,0.6,0.706,1,-6.827,1,0.0491,0.11,0.0,0.0925,0.262,133.847,240080,4,japanese teen pop,2022-01-15
193,Fujii Kaze,帰ろう,Universal Music LLC,151,191,28,0.3,25980,0.03,0.6,0.624,9,-5.926,1,0.0335,0.297,0.0,0.127,0.335,91.891,284480,4,japanese teen pop,2022-01-14
189,Yuuri,インフィニティ,Sony Music Labels Inc.,59,185,131,1.3,27914,0.03,0.6,0.677,2,-4.537,1,0.0427,0.259,0.0,0.215,0.801,178.096,245400,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-01-13
197,BUMP OF CHICKEN,なないろ,Toys Factory,65,194,100,1.0,26979,0.03,0.6,0.862,9,-4.347,1,0.0299,0.0178,0.0,0.101,0.84,124.978,259878,4,"j-pop, j-rock",2022-01-12
199,Yuuri,かごめ,Sony Music Labels Inc.,117,-1,72,0.7,26746,0.03,0.7,0.545,6,-7.407,1,0.0389,0.605,0.0,0.0846,0.408,72.512,272427,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-01-12
170,NiziU,Step and a step,Sony Music Labels Inc.,4,190,379,3.8,31444,0.03,0.8,0.852,0,-3.76,1,0.0499,0.186,0.000115,0.0747,0.566,116.03,201587,4,j-pop,2022-01-10
199,Mafumafu,命に嫌われている。,まふまふ,116,182,10,0.1,26475,0.03,0.7,0.839,0,-3.624,1,0.0377,0.354,0.000273,0.117,0.767,99.989,274966,4,"anime rock, japanese power metal, vocaloid",2022-01-09
184,Kep1er,MVSK,"WAKEONE, Swing Entertainment",160,172,4,0.0,27794,0.03,0.8,0.945,1,-3.02,1,0.176,0.0189,0.0,0.127,0.658,129.95,190707,4,k-pop,2022-01-07
199,ZUTOMAYO,正しくなれない,Universal Music LLC,16,179,370,3.7,27636,0.03,0.6,0.679,5,-3.959,1,0.0361,0.036,5.46E-06,0.127,0.484,118.67,240067,4,j-pop,2022-01-06
196,HIRAIDAI,Anniversary,avex trax,60,198,76,0.8,25040,0.03,0.6,0.663,0,-6.325,0,0.0834,0.0664,0.0,0.306,0.559,186.083,168982,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-01-03
170,JUJU,こたえあわせ,Sony Music Labels Inc.,86,174,46,0.5,25717,0.03,0.6,0.672,2,-4.791,0,0.0498,0.21,0.0,0.379,0.555,90.969,230747,4,"j-pop, japanese r&b",2022-01-02
